date,u10y,u1m10y,u1m2y,u1m5y,u1y10y,u1y2y,u1y5y,u2y,u3m10y,u3m2y,u3m5y,u5y,uv1m10y,uv1m2y,uv1m5y,uv1y10y,uv1y2y,uv1y5y,uv3m10y,uv3m2y,uv3m5y,u1m2y_rv_1m,u1m2y_rv_3m,uv1m2y_vvol_1m,uv1m2y_vvol_3m,u1m5y_rv_1m,u1m5y_rv_3m,uv1m5y_vvol_1m,uv1m5y_vvol_3m,u1m10y_rv_1m,u1m10y_rv_3m,uv1m10y_vvol_1m,uv1m10y_vvol_3m,u3m2y_rv_1m,u3m2y_rv_3m,uv3m2y_vvol_1m,uv3m2y_vvol_3m,u3m5y_rv_1m,u3m5y_rv_3m,uv3m5y_vvol_1m,uv3m5y_vvol_3m,u3m10y_rv_1m,u3m10y_rv_3m,uv3m10y_vvol_1m,uv3m10y_vvol_3m,u1y2y_rv_1m,u1y2y_rv_3m,uv1y2y_vvol_1m,uv1y2y_vvol_3m,u1y5y_rv_1m,u1y5y_rv_3m,uv1y5y_vvol_1m,uv1y5y_vvol_3m,u1y10y_rv_1m,u1y10y_rv_3m,uv1y10y_vvol_1m,uv1y10y_vvol_3m,u2y_zscore_1m,u2y_zscore_3m,u5y_zscore_1m,u5y_zscore_3m,u10y_zscore_1m,u10y_zscore_3m,u2s10s,uv3ms1ys,uv3ms2ys,uv1m2y_1m_ratio,uv1m2y_3m_ratio,uv1m5y_1m_ratio,uv1m5y_3m_ratio,uv1m10y_1m_ratio,uv1m10y_3m_ratio,states
2018-01-02,2.1090428533994663,2.117443781005433,1.8882393383490959,2.0123854226440048,2.1767756372849707,2.0602110417646604,2.0929793831396775,1.8599721852043227,2.1319705787459458,1.9390062966684902,2.03445153563604,1.9995946196591243,54.52569791019693,35.80453843837264,49.32034758087359,60.17403168608942,51.693596187027694,58.109721583506655,55.04998843950722,40.68180328202061,50.52688733255822,27.959184258539327,28.02842669746942,27.802613181450358,24.38395048342308,42.70091906583254,40.49784354344509,35.74720471472805,29.685289692351084,52.84564364268141,46.87388414811232,37.747712492572404,30.392600212905105,31.21905894796761,31.5899738818622,13.016632264985416,14.941163710237108,44.302341990932625,42.287269567962156,13.50908150171978,16.98161235402587,54.04552460548736,47.902996013657294,14.563693547734648,16.127232610982382,40.35684620858697,41.97173829342755,7.715802598883713,10.186129136632808,50.79259681967412,48.580407399586136,9.260448890372023,11.008787148333772,59.257292835083895,51.72404202428993,8.200024862474853,9.959360867545703,1.6687425562200555,1.8395916298556159,1.2501680853492116,1.7407467996939785,0.9087535406070385,1.387256849611392,0.24907066819514356,5.124043246582204,11.011792905007084,1.2806002531149374,1.2774366119381682,1.1550184084992596,1.2178512055330533,1.0317917268427137,1.1632425795546701,neutral_poor
2018-01-03,2.096613410600125,2.10457873213895,1.8964368900616604,2.013792730908552,2.161508232061744,2.0668181630327265,2.0918601018238543,1.8685238778514974,2.1189357005309515,1.9478707016772199,2.035907787835411,2.0015197969294567,51.639765376621334,34.13946507808594,46.85290647074129,60.139982140902454,51.63934967957948,58.35399127528149,54.499042025201,40.52507215604939,50.1210027259937,26.8828987194261,28.02893817517281,28.202342982600275,24.56988957498604,40.96266989088833,40.50101752412406,36.16060821640026,29.988996933208217,50.14057098336567,46.969057128985284,38.43842851706622,30.596146518774727,29.998118398044625,31.595283600415485,12.308291675543776,14.943420975982669,42.51364580971357,42.29057155894015,12.054594669667214,16.94512788053413,51.238272501334635,47.998513947332064,13.486073633047509,16.15029086882384,39.1352195139175,41.97217241818584,7.467684590455281,10.186120284289384,49.053225280454434,48.58739454323461,7.722044525887176,11.02655298775406,56.40871334224842,51.834291843033654,7.86739584889151,9.957980308721963,1.720273109844453,1.864596033693731,1.1829524281058532,1.7141288973234678,0.5237101413492243,1.1029604737325647,0.22808953274862764,5.640940115701454,11.114277523530092,1.2699324367656863,1.2180077912593081,1.1437952310125952,1.1568328238379144,1.029899826903707,1.099442239915727,neutral_poor
2018-01-04,2.1161531156971893,2.124140006349612,1.9259896651093094,2.044629614791076,2.1801552052854936,2.1083266837014625,2.1192670964533282,1.8949371860050326,2.138918229980509,1.9799402710583929,2.066623132742077,2.0323934076011687,50.58833149419783,33.51169847866946,45.82055422441282,60.08826399653861,51.600221764162704,58.17457527616922,54.00076272965391,40.720820965219644,50.16319689946721,27.18524766632146,28.286720105668074,28.232929095847595,24.51116630724487,41.287522428390496,40.70086550484513,36.212529217544635,29.781476973725475,49.57075623074453,47.03490517660761,38.473335311513566,30.619277863630643,30.36063688097966,31.92662567265339,12.020565087541978,14.553315343285293,42.86823915991278,42.49468063748855,11.411674679824005,16.762570552868954,50.70201065363102,48.07739069865207,12.819226532769548,16.035770668555134,39.952949592819934,42.458331834873476,7.467631268747882,10.143685299498344,49.160793538611465,48.728470862409324,7.700693338451621,10.933963925197947,55.78704040037531,51.89671599200626,7.859525604415364,9.882435687953404,2.0698823911411397,2.053325369181377,1.7435607643537825,2.0368035262835114,0.9655613322902817,1.4512112748914632,0.22121592969215675,6.087501266884701,10.87940079894306,1.2327163206309701,1.1847148893008068,1.1097918094718437,1.125788202684737,1.0205277333013973,1.0755487080126502,neutral_poor
2018-01-05,2.134144479255086,2.1422351040751715,1.9309736190682965,2.057309489137032,2.1991721113307343,2.1202997649834963,2.135480038259791,1.8996991209373117,2.1568919274594136,1.985558473060851,2.079806599134638,2.0445597862656677,48.86168928898085,32.12990590457978,44.246324246410246,59.69238891963057,51.449007461107,57.76485870346617,52.91106937734659,39.43524798751075,49.0631805016736,27.18761244953462,28.177302262745034,28.471980929553055,24.45591022923555,41.296600508426025,40.586999625156125,36.03312318677768,29.82828364882188,48.87950710838047,47.06363876782254,38.77632039725291,30.738235691594856,30.35486562261941,31.826484814565053,12.549268517476978,14.615583728562093,42.87978945969529,42.400128333596015,11.901629636658399,16.75580703923562,49.97374557898734,48.11636792593559,13.224561351210363,16.017382939287362,39.93876588992172,42.364510951586425,7.46016834066178,10.145461574387184,49.07777812386058,48.64519755160602,7.631753976167357,10.946532296583296,54.86305466975847,51.95701861843362,7.599271753007051,9.865379884887952,1.8860818784499045,2.0128940613494004,1.7721279696897805,2.093319481048071,1.2859261322988529,1.7412174237455527,0.23444535831777413,6.781319542283974,12.013759473596252,1.1817847545171167,1.1402761557858834,1.0714277616478958,1.09016001811048,0.9996354746507546,1.0382046643275624,neutral_poor
2018-01-08,2.137663947541847,2.1464015403617034,1.9220244975999237,2.054857461666986,2.204056843416478,2.1077775408864565,2.1363429508886473,1.890096488021642,2.1604187994505213,1.9734869404655768,2.076858028108136,2.041078270965125,50.36697943189261,33.21881130313545,45.6893000244909,59.58152429771167,51.265840096109805,57.65085026409466,52.90925575093371,39.43589217653998,48.83200464309492,25.45927827313679,28.303937705489655,28.56892954093818,24.57289776795097,39.056245265375175,40.598506068639644,36.21337915351647,30.00890515597576,47.52081537099369,47.062824934319224,38.91579314801242,30.919820893153013,28.61945624775854,32.00435065754017,12.529705118285069,14.61559234681088,40.662160832547336,42.41406144677384,11.889091572563832,16.754228777674385,48.636285338384134,48.11485199072558,13.20478441945452,16.017320028276934,37.87685092202296,42.50513424790772,7.331544061214469,10.149910587860916,47.049042171180446,48.64124485726881,7.435157486379809,10.943791082364942,53.66611009855335,51.9595776321079,7.459120423159489,9.86220461934737,1.5174429888171104,1.8426505146118795,1.5356446482547634,1.9610566088722716,1.257589517673849,1.7367768081122517,0.2475674595202051,6.672268546777957,11.829947919569825,1.3047821288078731,1.1736462837357269,1.169833395761578,1.1253936277173422,1.059892997177742,1.07020731335581,neutral_poor
2018-01-09,2.200337857178968,2.2097697382104347,1.9352706377246305,2.0953456969524566,2.274956368071552,2.1328661948531313,2.1913318459763147,1.9040652652919992,2.225547730865913,1.9898749182724966,2.120322353557003,2.0804095561823286,52.873536361248746,34.541528324842766,46.76405401725584,60.46340464583785,51.863700417866625,58.51260004411266,54.46643318545046,40.56208104224594,50.369170053686,25.512904797354892,28.281157541112623,28.909254962393952,24.397662838794716,40.25633533827178,40.86063046890228,36.429733197578884,29.531914844218047,50.432901632027935,48.31457232294375,39.91364699982274,30.84112412605719,28.744767979736537,32.018445082797456,13.10780939935381,14.760000277830256,42.003620516324915,42.73407920828221,13.185030417268552,16.89852171312218,51.636158836421465,49.43642159506039,14.414331139625808,16.246745655635134,38.2440438912902,42.53337172903659,7.196338706414743,10.163729726736406,49.1983568530187,49.15566841191131,7.817842015002957,11.050508087596585,57.03175994846781,53.483760345573515,8.000808181445388,9.993647788865635,1.6535549092536503,1.9078483847218997,2.0607081535832585,2.336853444610467,2.300757379849467,2.758905076533799,0.29627259188696886,5.996971460387385,11.301619375620682,1.3538845772051773,1.2213619005738847,1.1616570068859982,1.1444770548228929,1.0483937003472126,1.0943600205716821,neutral_poor
2018-01-10,2.202011886115898,2.211028417283059,1.9375888156454306,2.0950470288209675,2.277497490533274,2.1372503893912658,2.191741606523078,1.9065603781323943,2.226932025691686,1.9931534821870927,2.120111187993703,2.080718478792317,54.08804180024133,33.77658387719279,47.22872354262908,60.87168811212215,51.87259073872252,58.72702351082918,55.31953608071594,40.87534731641106,50.95864592425799,25.56436298714737,28.288088389044958,28.337093714935087,24.065462954239006,40.2682687004629,40.86910556490455,35.533120267475155,28.949621467250946,50.46481794291101,48.310167116103116,38.8780798355595,30.349667282250365,28.780318866053108,32.011619060043735,11.264106264278341,14.73655689742983,42.014323466163624,42.74623321164702,12.770036857248806,16.855118020239004,51.66580953423102,49.435509064182135,14.163846509009371,16.2975045414568,38.23138873365295,42.523518446295085,6.84839061495511,10.160067973270984,49.22326563638333,49.162653435002404,7.729022960307204,11.035126257114692,57.04845200373998,53.47820989974319,8.005621966240962,10.029412852785978,1.5447046488978928,1.860143725162096,1.8040261571254157,2.2337516727455506,1.9771860601686948,2.6129353308543863,0.29545150798350384,5.552152031406209,10.997243422311463,1.321237063257714,1.1940214344873634,1.1728521008425221,1.1556094240336328,1.0717970262258576,1.119599559038004,neutral_poor
2018-01-11,2.184579192850343,2.193187981616473,1.9343983782831777,2.0838047906812704,2.256523866371504,2.1230851607739445,2.1767629637459143,1.9033112936514183,2.2086260518783507,1.9862712137314837,2.1082250083002805,2.0699064570673134,52.560287243202175,32.86346050242223,46.11003258101943,60.26678216936821,50.8988889550863,58.20313793111609,54.99365916872012,40.02451619033695,50.30363773921522,24.938362775361476,28.335490382896378,28.319749031530776,24.028117967648882,40.51227723072602,40.883533857930914,35.41981675808166,28.73155475940253,51.15629200254184,48.30650502298532,39.01070320994791,30.266928966861276,28.373605566537364,32.08023777096662,11.74350521157933,14.727092103626635,42.342455530744765,42.732432135247656,13.001048271213797,16.87203466951279,52.371581149946536,49.41733201197058,14.226735203997377,16.169853692071328,38.10558795073638,42.6367806871629,7.5938266247386625,10.33411555582019,49.672379479840465,49.120734462304306,7.932631427849394,11.063251790697214,57.82910233571068,53.47685622178352,8.275611161979493,10.05424833398732,1.3289348635385363,1.764131027289515,1.4227284997770113,2.0265983779390595,1.4560702678616357,2.203642002674506,0.2812678991989248,5.273123000648091,10.874372764749346,1.31778741044262,1.1597985444521894,1.138174295125722,1.1278387220940942,1.0274452112477304,1.0880581656278552,neutral_poor
2018-01-12,2.204943066535253,2.21453360719506,1.969740228410583,2.1186733884100835,2.2727033265556815,2.160352417525799,2.207986768317043,1.9343542378518617,2.2285539985720098,2.021010796351397,2.1415859262011527,2.1027835895892975,51.42387180704871,32.14404479540716,44.75770039999354,59.90776675945158,50.57277004478187,57.856888586884,54.768074220775894,39.32351721482267,49.5817994652274,27.000184928380992,28.455745566137082,27.88379956357368,23.938390172509244,41.71980182614049,40.73283095901521,35.29099369117932,28.660714864182943,51.407052138517486,47.87139463237676,39.194504452400125,30.173747306721243,30.100684200245396,32.045582747523035,12.07412180844987,14.501181123894796,43.35879588754511,42.48995057587275,13.249995260168589,16.48507411850982,52.55529565892728,48.9515786000663,14.22575820936032,15.766161828143836,39.57067477794825,42.369284075249816,7.655441695652474,10.294959609539852,50.3464786812083,48.6792505131631,7.975389113356818,11.045101471884692,57.861428103330205,52.918343981495944,8.326088482843462,10.02068249617767,1.763619960906269,1.9951707892682702,1.7703221907891546,2.3355973751065413,1.612800310347888,2.47714616640684,0.2705888286833913,5.139692538675689,11.249252829959197,1.1905120235535591,1.1296152729752837,1.0728167067167032,1.0988114340745945,1.000327186014983,1.0742087670925993,neutral_poor
2018-01-15,2.204699723027896,2.214275300676704,1.9694861770067265,2.11824420226048,2.272427260172266,2.1600621988383826,2.2074972508812913,1.9341272558330773,2.2282908543948996,2.0207859125306955,2.141145898079368,2.1023807089064004,51.531749304265176,32.37564067990626,44.91331649887248,59.90776675945193,50.57277004478158,57.85688858688383,54.76807422077573,39.323517214823,49.58179946522732,20.696494536633377,26.49428293910155,26.31051321904528,23.94656036922064,32.81546838870608,39.330459252224045,32.6998865664425,28.661053683928124,45.328154771524645,47.303610234746714,36.41455297269531,30.17307256620432,22.779228141571224,29.936719378602533,12.061360250072877,14.4069718208929,34.22710335460575,41.104418581336276,12.830350358927529,16.456486144079037,46.48205907542924,48.42101725293939,13.706849618565341,15.73518800823314,29.682408965233066,39.82714719300029,7.391187225915298,10.294718843685336,39.97563895522779,47.28143577093226,7.631674390105242,11.043603690116374,51.5717831671616,52.452931911724306,7.663201580495999,10.02248899347451,1.6305931557503417,1.9091538151495737,1.6326923331138647,2.221343896128985,1.4637590046171034,2.3551929954927124,0.27057246719481864,5.139692538676201,11.249252829958579,1.5643055215268686,1.2219859187856985,1.3686629721954557,1.1419474207215807,1.1368596309293768,1.0893830100606718,neutral_poor
