date,uv1m2y,uv1m2y.10,uv1m2y.15,uv1m5y,uv1m5y.10,uv1m5y.15,uv1m5y.25,uv1m10y,uv1m10y.10,uv1m10y.15,uv1m10y.25,uv1m15y,uv1m15y.10,uv1m15y.15,uv1m15y.25,uv1m30y,uv1m30y.10,uv1m30y.15,uv1m30y.25,uv3m2y,uv3m2y.10,uv3m2y.15,uv3m2y.25,uv3m5y,uv3m5y.10,uv3m5y.15,uv3m5y.25,uv3m10y,uv3m10y.10,uv3m10y.15,uv3m10y.25,uv3m15y,uv3m15y.10,uv3m15y.15,uv3m15y.25,uv3m30y,uv3m30y.10,uv3m30y.15,uv3m30y.25
2017-10-02,0.332824354243046,1.610633900633452,1.699903163368229,0.5466371445125702,1.2011720847124443,1.2418046890035472,1.3769598361509976,0.701978980385078,1.1627901545771084,1.1704022500753606,1.3488240755760832,0.6986339197549165,1.095739299640306,1.086843282741018,1.3375593884689825,0.6380094448771467,0.8864479286372516,0.8688027129358366,1.2389345671145924,0.4238006801119465,0.7332236134371386,0.9387871107151948,2.0532330830081937,0.5049009754103219,0.7570725997191016,0.9434315108285596,1.4944531927743037,0.4423598603261043,0.9008727595870731,0.9287658249062267,1.0935721461457835,0.32109808552608565,0.6712341849481838,0.769047668900442,1.0152261334320718,0.21249614380629228,0.3943079809173015,0.5587095776819178,0.855685946575717
2017-10-03,0.3696440257110355,1.7421102662088437,1.704880904420516,0.4993456247894664,1.334885127935108,1.3152584674167036,1.4204467446980145,0.7390229265352906,1.1473389107599414,1.1785737726607666,1.2957544799037544,0.8006691869375211,1.052809847793386,1.0588135562648233,1.250239102260065,0.8192786674376475,0.8294586068931191,0.8221420505341455,1.1427543183791085,0.4268282412488515,0.7380019438305438,0.9452479227782824,1.9995873439329477,0.4897896422100792,0.7322767399894723,0.9090987971911018,1.6280329319723132,0.4403241988759146,0.9234839443211185,0.9393290907403999,1.0786222664431828,0.3457361999398223,0.6573684996118365,0.7502267262417315,0.9874770301868054,0.3772721831703316,0.3744409476463509,0.5323208105958424,0.8342215346966284
2017-10-04,0.373558052848585,1.630250702413897,1.597592409821641,0.6133395465068865,1.1532444499832237,1.1808286271063664,1.2578081623360329,1.1060015900895035,0.9963978905440196,1.0231344289004352,1.0967471767590518,1.0967633258237535,0.926594324464853,0.9241160941360176,1.0202299701348805,0.8188997794030995,0.7436775199190309,0.6886712932826455,0.8505857017855131,0.4142599391933038,0.71899295876461,0.921242932831426,1.8994735391771418,0.49670844678591064,0.7416097789187945,0.9313590975219981,1.6162077537620692,0.43876289437802696,0.8239736678786798,0.9370359444155489,1.060793762689447,0.37459730222344223,0.6550355107850016,0.7428365685314942,0.977145512775654,0.38668889818287566,0.36175635844566095,0.5078268017434413,0.8150876175434505
2017-10-05,0.5224520706208657,1.4121032622704546,1.411809510856486,0.8438539746821409,1.1122106923057034,1.1408412391450338,1.2550310218957854,1.1597980790278295,0.9854538837792632,0.9869486272495399,1.076210192189452,0.9745613721339388,0.9302380145339402,0.9032838056246767,1.0381511196283375,0.7065556889930946,0.7735784392575733,0.6913309993393529,0.9099641719689207,0.4938959757693632,0.8236889888028822,1.0373886381164064,1.8014169799440407,0.5371538247799339,0.8065990943942876,1.013625232729852,1.6622440341079108,0.4728746199644268,0.8335212115120968,0.9503997976666121,1.0781163695080447,0.4302630181666359,0.6643564782428595,0.7531276822846121,0.9975560253752414,0.3745107887188026,0.37755544549223746,0.5086144602806555,0.8340578078413209
2017-10-06,0.624880362618256,1.1679211170118171,1.1586515894675167,1.0757025932202147,1.0143303697672346,1.0129793932667226,1.1273686285764448,0.9960661949560996,0.9449815773824378,0.901400612139053,0.9996790495201553,0.8300614247744955,0.8995962177504531,0.8188946924876701,0.969192646580503,0.6056167524523803,0.7412094180591858,0.6037309628571569,0.8126380583087627,0.4729574456988414,0.7995765031568083,1.0267638289918437,2.173592826284513,0.5247499488076321,0.8024627840479065,1.0152010009144536,1.5727847713850376,0.4734047429627945,0.9220685755686301,0.9500466961812464,1.0275430348733734,0.45009698915605745,0.6662172728982991,0.7029252659757421,0.9352250450469117,0.475817991913,0.351816912524755,0.43151419438702643,0.7325162998019854
2017-10-09,0.6412480083322702,1.126702397606869,1.0197921334819096,1.129490575800884,0.9865975290849419,0.9070102560838638,0.9249542363381895,1.0809278463602134,0.9590150176975929,0.8318627370652629,0.7905556611776696,0.8475725534054148,0.9348937151159702,0.7825786591784181,0.7405756061382543,0.5744619308320287,0.7822169588643175,0.5980141730270682,0.532632291558352,0.44637603253864455,0.7618737327464484,0.9845670559306346,2.0027193659811884,0.5013790130759186,0.7710856982971038,0.9862746023088831,1.3981795978173466,0.4556332703881637,0.5924606829561718,0.642992601472261,0.9920374734013361,0.42109385981594327,0.3596386711624212,0.6772433250647483,0.8904234174244378,0.07795297986206164,0.3310437159866943,0.3918378777946838,0.6769334986768929
2017-10-10,0.6327723693811186,1.2566853419490194,1.1805725272181644,0.7695956395009391,1.1874482019552437,1.1190645770128875,1.1723221560015227,0.3798182607602255,1.0383505459032452,0.9660777340684882,0.9712415063937514,0.10590545600947443,0.9893795693707924,0.9127470075766171,0.925507804249208,-0.3035816447897243,0.8183432570659951,0.7178185997669106,0.7115544252268424,0.45042895385842696,0.7658553261657222,0.9836505766251209,1.955375348875545,0.5143797254472131,0.7709629566758387,0.9552039022290637,1.3918441518752953,0.4566436442314632,0.6696326123436672,0.6917077450624588,1.0523282619556062,0.4009298907044849,0.432517568719035,0.7913824796067663,0.9270993864286243,0.1819926598330714,0.39832107424522956,0.4687439653922744,0.7271908665409488
2017-10-11,0.49500630564320036,1.317626470491464,0.9931410111405131,0.5286585625205287,1.3884587405605615,1.1436391355128683,0.9555724874318172,0.2905258652623079,1.1458514260872934,0.9212406701354691,0.7631825726919335,0.2067009107367564,0.9592606112225386,0.8076369002506751,0.6849015477129579,-0.001341708654369958,0.6386354060021012,0.5536046211468315,0.42798095233791494,0.4232984177222123,0.7250046292271318,0.9382032452725155,2.059139260495068,0.4791343901167979,0.7255496957253318,0.9019784436994199,1.459164665019788,0.42808694363974786,0.6129194421785291,0.7156297610773144,1.0173217007584425,0.3493202527295785,0.43686988147176115,0.6894273029367384,0.8717164090159297,0.13855479275237453,0.35203023996306254,0.42947723677180616,0.6708602697239054
2017-10-12,0.4197446570396669,1.2563256761863526,0.8255815989632198,0.42882348261484105,1.1227473531383518,1.1892861478373136,0.8032241600422693,0.2580981968607509,0.910476333778121,0.9363272565188192,0.5802217314524214,0.1914781076620094,0.9801150616880409,0.8005579286282465,0.48281767826663535,-0.02298813204370736,0.7683920381238453,0.4617237195298109,0.09116803045365246,0.3745638329415676,0.6562778332745969,0.8646046313321929,1.7666810043891297,0.4511466310782921,0.6834773536309392,0.8455825781112982,1.279008220958686,0.3862801129394883,0.5706753932623487,0.6550328829876453,1.0176479315441616,0.30715422601824827,0.41659485918749817,0.6343927011104857,0.831146690513428,0.12654228654549318,0.3027454119824572,0.41172547521593816,0.6073350149608032
2017-10-13,0.2507189969699644,1.9328907016906793,1.2715354898748303,0.3025719851876632,0.7200037819881346,1.8806802154719207,1.053354643358279,0.268209992821143,0.4036119524669189,1.4267345419977648,0.6676501256908991,0.2344953991444947,0.3800299336870879,1.220091700241166,0.5040687275888317,0.10121747774869862,0.2252689471843377,0.7863655847396464,-0.05230775734456979,0.2889501973038128,0.5323752111635978,0.7275981712011713,1.554752720303785,0.37454351831375726,0.5747802234482922,0.7099404618803855,1.124710729524422,0.3357345437315958,0.48820010510844014,0.5863385867938037,1.3513053571316072,0.251465979522688,0.38052677863693846,0.5569073602983095,0.917974873301957,0.09746329710114905,0.2598872521446265,0.6516441613309294,0.5327286650139819
2017-10-16,0.6903059800110949,1.4104672525028739,1.216545606758589,0.47835085737418326,1.15228856521329,1.1725947661494784,0.8471177439399461,0.10945111252456943,0.5322574307429088,0.7538099934223841,0.49974192352707636,0.0004671213131099052,0.29964311625517537,0.576033138631656,0.31262377145536896,-0.15052254729982587,-0.023210253546572825,0.22538403513039018,-0.22542210715070465,0.45788858547209726,0.8135174044396473,1.0940239075875664,2.0089137415914453,0.4301507819117142,0.6688488460611259,0.8301138639597438,1.421817949017512,0.3173882338604984,0.4772255325567718,0.6421663000192688,1.129577019437561,0.20995353727005261,0.3684648589323696,0.6743761554101628,0.7623588779291184,0.03797895602580077,0.2810684468362436,0.4696664557506837,0.43048937845879276
2017-10-17,0.7592780092582866,1.4838711637477866,1.4104353994720715,0.5123731472024261,1.1453619817479141,1.1749553657648892,0.9655152132681557,0.05860178583867598,0.5051356432107009,0.674431300951489,0.5210653446165138,-0.07921897262103952,0.2761792864218958,0.47741438819689236,0.30716071704706616,-0.20922901636283328,-0.07194342490089553,0.08280124826814336,-0.2490250043258414,0.5364390650617321,0.9188556921933668,1.194981420167226,1.864937526411384,0.4575528573498283,0.7040112793601223,0.867954977822256,1.4256186326450315,0.3002571165311998,0.4697093402171652,0.6582260291878326,1.141146134311338,0.19386614589766288,0.3759109367041623,0.5712548738643655,0.7467781225193671,0.02357436094726699,0.20539349688406108,0.5300426513223873,0.39401691399547323
2017-10-18,0.7528711354459532,1.51270420505249,1.4913054686573006,0.6818643407246333,1.1373678755357362,1.157528231180098,1.1482122809348216,0.35496075082584283,0.48777531742460667,0.5794544113441074,0.6701316552136412,0.22936351701614724,0.31709208477456996,0.42690895608543133,0.5055730764524817,0.11611316236126949,0.03216426128958734,0.11147644818924171,0.10645394986010435,0.5453432225011827,0.9321001460867087,1.20649493072781,1.7501273176969727,0.49366495713792635,0.7610962052752261,0.9500426881982815,1.4321457772682753,0.3207464231174978,0.5545837521737654,0.7405979410731651,1.0273574396657665,0.22770969543692515,0.46693913575786666,0.5844868576623534,0.7595509916893812,0.10178090619261984,0.19780997760801228,0.4005749092646309,0.4738773799309168
2017-10-19,0.7568347682689542,1.7267610055963156,1.6354426391199484,0.6237901981776875,1.2415099404512189,1.2268547420348812,1.1990182529226658,0.27008122743460117,0.5711218617347972,0.6395189123007228,0.7234240249321444,0.12526993836619238,0.4138532984280474,0.4850334488551379,0.5693104463158764,0.0047912337897256865,0.13861977999117472,0.17252259254259888,0.1674004289352793,0.5356146904361523,0.906882728836919,1.1651038253344956,1.8217143073162063,0.5068847347261114,0.7694249473681758,0.9458480266468434,1.4140478291792595,0.3368920319754679,0.554638841706836,0.7290114894607489,0.28066014988598526,0.2414790190652365,0.45738364884861515,0.5609632682633112,0.28376650459166636,0.11833504888340339,0.23919061690838583,-0.01895420620517524,0.5227298819724399
2017-10-20,0.8538030572699657,1.6374560054625134,1.6811308181634201,0.985024936478074,1.2421489167507511,1.362073298533986,1.543364814895439,0.9009281904464324,0.6805010784077143,0.8543698652488118,1.2000867403444238,0.783000247964665,0.5512801350811705,0.7507328168538514,1.1008736672654122,0.5651438368853843,0.3389586464975458,0.5225011208753083,0.8870927253915577,0.5687499124361409,0.9622760396390309,1.228801501652038,1.7244973869260687,0.5769657298657004,0.8711400038170344,1.0565220348908642,1.2528039716163017,0.4131388194906465,0.6272773185132503,0.6716064824351287,0.7917557098519372,0.3423615537619991,0.43930804448153427,0.40063965356696774,1.0743924240399074,0.20361315269347108,0.13799376467930025,0.18043564943175636,0.7081624091399488
