date,uv1m2y,uv1m2y.10,uv1m2y.15,uv1m2y.25,uv1m5y,uv1m5y.10,uv1m5y.15,uv1m5y.25,uv1m10y,uv1m10y.10,uv1m10y.15,uv1m10y.25,uv1m15y,uv1m15y.10,uv1m30y,uv1m30y.10,uv1m30y.15,uv1m30y.25,uv3m2y,uv3m2y.10,uv3m2y.15,uv3m2y.25,uv3m5y,uv3m5y.10,uv3m5y.15,uv3m5y.25,uv3m10y,uv3m10y.10,uv3m10y.15,uv3m10y.25,uv3m15y,uv3m15y.10,uv3m15y.15,uv3m15y.25,uv3m30y,uv3m30y.10,uv3m30y.15,uv3m30y.25
2017-10-02,1.538700914123356,2.0413589771858205,0.9712414467701587,0.1714536913025303,3.678261897268973,3.4822002373448466,2.1985551105592624,0.7958207283833564,5.109688826229247,3.905665523454152,2.5101650576057484,1.0482266930439634,5.017784768540427,3.584706578897141,4.391853078509165,2.66739404924613,1.6194063057721213,0.7716730964222932,3.538182227712129,3.1728470869147913,2.815344389871398,2.7993490348850774,5.8442756370157225,5.51250748146896,5.337263478272341,4.936554875010144,5.507837154463154,7.298687763202241,5.962836239749735,4.268849117738229,3.935766578257285,5.315035644343087,4.807258481943144,3.8243933446329414,2.5001878711941217,2.9311897545862493,3.249817728476788,2.9335839877474763
2017-10-03,1.7736417088813745,2.4224691793337536,1.1105756475020012,0.21237803476547176,3.3942879218123876,3.944695673198,2.388129005502784,0.8550092185348869,5.423465509099994,3.9086739788950364,2.5733719715431516,1.0349771728672876,5.752794668865042,3.444248873884365,5.619407208803064,2.481112127386539,1.5205175787169192,0.7048795939495183,3.5992867878906334,3.2483428669982324,2.895643183266907,2.8111706520188924,5.674002265941892,5.336335884392315,5.147605534644053,5.3884027742208485,5.485960547335601,7.484395318126255,6.031864699704457,4.21054450901106,4.225380753819835,5.180617578049205,4.663162451889865,3.691180451299859,4.436644134186016,2.780287488597212,3.0937449096066914,2.860061712637402
2017-10-04,1.8236638393410805,2.364828361562586,1.10592183189135,0.2190887358181405,4.2201423257727555,3.4893486019526003,2.213166895311445,0.7989534898152446,8.073257329888156,3.362231668936544,2.207370873689947,0.8631046179173616,7.854901683900786,3.015994404558013,5.589312053054468,2.211318196553461,1.2624013337186113,0.522693041131422,3.4861117912313935,3.1533095446626707,2.8092804363444004,2.652348552483692,5.805164054845216,5.47584331085495,5.356972630616703,5.463195017642677,5.465812285498156,6.677412856979945,6.015060652109204,4.139066015205891,4.592410646440118,5.185196699665779,4.641716595895847,3.6788685880917065,4.546708041606432,2.6856484015389372,2.950858106138987,2.7972412551521915
2017-10-05,2.5608656927390494,2.0703131979266463,0.9915740836203122,0.2052396155655827,5.887218491446778,3.4577378574767446,2.2144513470896054,0.8386208296599272,8.396994100531884,3.2796087762198525,2.0915099485944495,0.8226711142642039,6.934620988594402,2.9983351785744494,4.779461840901469,2.2750854132574143,1.2501563317060762,0.5464396996073759,4.314114599343255,3.849133466995845,3.4238508177770113,2.815741622812097,6.391280900781026,6.118578990664133,6.020799761934306,5.866298681698762,5.967973864068947,6.888340014250394,6.244879738979168,4.341023360488403,5.338683298704741,5.357057446920231,4.811862001526848,3.8722312947774187,4.446084995338268,2.849668920339643,3.0132597512350277,2.946285186036615
2017-10-06,2.8972228376545424,1.4937522179482328,0.6712912685843722,0.12929059198632398,7.216992541927942,2.9264559246688133,1.7821236536062797,0.6442306973249998,6.975728999427983,2.9596432139546938,1.7653742792119913,0.6758257468652947,5.696912171464369,2.7162146284575357,3.9561598046311928,2.0480065245476884,1.0074184205147905,0.43061073166159614,4.072055610031958,3.6485994499581196,3.2910181388483952,3.261499838535748,6.184405973130684,6.005155911711791,5.935067211066187,5.432835121070621,5.918236277351421,7.519084807665378,6.149398311349444,4.061212535255125,5.525315735730686,5.292552599235792,4.41690687984698,3.557927882544997,5.571376395027,2.60566780040975,2.499420965813488,2.519278077930827
2017-10-09,2.9819030322177964,1.4499990720650975,0.5952516784638,0.10350717898812155,7.5795678081125075,2.847518446367629,1.596387225121181,0.5289140304556101,7.573232270731509,3.0089374254038113,1.6325378583050116,0.5356699661763062,5.818125919522111,2.830035931015728,3.7503814197129497,2.1698305283343937,1.0053853821719374,0.28765716580066236,3.809824733239327,3.4244652977299666,3.095839530395972,2.919475169413009,5.846729016248963,5.678797126771949,5.656193472060643,4.700021354334376,5.6372631935792015,4.762012447663135,4.090644399189646,3.822801491189911,5.116374286213578,2.8236758230811776,4.177162466101699,3.3023377549032507,0.9034562537066995,2.412759358410099,2.2263286999476297,2.2675841165254407
2017-10-10,3.0852256585008924,1.8181584311397923,0.8129710255006537,0.16006250338550027,5.416221149837055,3.752208822629685,2.218070824942844,0.8077542423980277,2.7892168543958245,3.545289738780496,2.1148258109742706,0.7784947468223025,0.7691302217806733,3.311783142461447,-2.0998147804341114,2.507846434290702,1.367991705212181,0.4633713578115891,3.8909317960835175,3.5123834591171184,3.171391035948053,2.9550104624460807,6.125703189987015,5.853724911333736,5.679185743073667,4.9131647787392625,5.747739625824065,5.509754189450421,4.521198222030712,4.20188894162151,4.968197017329043,3.485020409163285,5.031764429932522,3.5769774661122504,2.1583878791600712,2.9958321938065744,2.7617863857493408,2.5463915789582394
2017-10-11,2.359029581522792,1.8020311110967961,0.6322628097963675,0.10185153577918332,3.638425391086787,4.204652768639389,2.145899517042233,0.6076434203667858,2.091585417232348,3.7669762642318423,1.923137988639827,0.5708302150767407,1.4658833696987723,3.0631031345234545,-0.009105432335893976,1.874109127921421,1.0057626698091857,0.2642338737719503,3.6059074240550144,3.247419278851787,2.9369738580231077,2.981772203197801,5.604266540417348,5.363693212167101,5.1948954803525424,4.937006069333512,5.317366959693144,4.9466053097846565,4.570546956333655,3.9392545501957335,4.263055454106728,3.4389195114115747,4.268283510486079,3.242743298190738,1.6267483552831177,2.6054648951646113,2.481488310633469,2.2873377332454075
2017-10-12,1.9100445749610184,1.5270361054605393,0.4426457530822627,0.04834484881163575,2.7986782986271983,3.0619935680095076,1.9433100058110946,0.41185261749237867,1.775000062195213,2.737743073564379,1.7353240664424938,0.3603215422611806,1.3011713914949254,2.8691585209903296,-0.1497401049121728,2.054459389220375,0.7383932058946493,0.05208641715520491,3.119669890301238,2.828172283981631,2.5788088054653686,2.3858564423695934,5.235715545649567,4.991907242781025,4.799850206459284,4.2412735591802555,4.720622559922528,4.492439896599803,4.060634149606619,3.783436931687816,3.697553923007124,3.207642471971183,3.8242155631319044,2.977104012367426,1.4683291797366582,2.194167975444672,2.3152158679969306,1.9913533978594085
2017-10-13,1.0867334934512876,2.062655189354866,0.563992816896491,0.04805017607609413,1.8865906753892778,1.7872572620394878,2.709382106104005,0.44244496789743987,1.770038519618526,1.1161307208813964,2.3561584550030554,0.3445517813883154,1.5309379064492716,1.0243372102152986,0.6382406023566918,0.5619200688284154,1.1072330811928792,-0.01864300736341487,2.3711092992946994,2.234993313403706,2.100524923620365,2.007956288320754,4.276925883641924,4.093957367955712,3.9108163709298185,3.584737825968141,4.060859955981847,3.778385513701425,3.559501159411211,4.881496445865636,2.990807929190672,2.868768020164689,3.2710877887708616,3.1631626782633644,1.1228764343566993,1.852861395453451,3.56091373592111,1.6843080074018602
