-91.80291,33.62465,AR
-92.74003,35.15763,AR
-92.71964,35.17008,AR
-92.36457,36.35104,AR
-92.10859,35.8704,AR
-91.25629,35.60575,AR
-92.26945,34.79772,AR
-92.22567,34.79059,AR
-89.98991,35.69744,AR
-93.83954,35.48853,AR
-93.71854,35.2919,AR
-92.04341,34.23173,AR
-91.98012,34.21324,AR
-93.38024,33.80213,AR
-93.13326,35.29112,AR
-93.11752,35.27826,AR
-91.75191,35.24775,AR
-91.70292,35.25038,AR
-91.55334,34.4804,AR
-94.0431,33.45849,AR
-94.10773,34.89433,AR
-90.95717,36.0806,AR
-92.0645,33.60973,AR
-90.65007,34.55262,AR
-90.78187,35.2471,AR
-112.87262,32.37674,AZ
-112.13698,33.86631,AZ
-111.55056,33.41275,AZ
-112.35291,33.44969,AZ
-112.28951,33.49351,AZ
-112.57067,33.37701,AZ
-114.5929,35.11978,AZ
-111.74488,32.87966,AZ
-111.99241,33.75628,AZ
-111.97774,33.79899,AZ
-111.92935,33.31976,AZ
-111.85884,33.26307,AZ
-111.85843,33.34957,AZ
-111.84177,33.32088,AZ
-111.78957,33.23462,AZ
-112.45356,34.76854,AZ
-111.52386,32.97782,AZ
-112.00893,34.7274,AZ
-109.55547,31.35077,AZ
-111.58521,32.74132,AZ
-111.66121,35.18245,AZ
-111.58483,35.2234,AZ
-114.59812,35.01624,AZ
-111.73034,33.60766,AZ
-111.75543,33.33369,AZ
-112.34116,33.53661,AZ
-112.20274,33.66966,AZ
-112.20224,33.52399,AZ
-112.18469,33.63852,AZ
-112.15227,33.53857,AZ
-112.15179,33.56602,AZ
-110.77277,33.39605,AZ
-111.47471,33.36904,AZ
-110.1476,34.92231,AZ
-114.03516,35.21196,AZ
-114.0079,35.22005,AZ
-112.17194,33.37765,AZ
-112.04451,33.07126,AZ
-111.8729,33.41466,AZ
-111.87157,33.37841,AZ
-111.8402,33.39453,AZ
-111.8398,33.42663,AZ
-111.7885,33.41655,AZ
-111.78741,33.37925,AZ
-111.77458,33.40798,AZ
-111.70078,33.45172,AZ
-111.68903,33.37923,AZ
-111.63248,33.41498,AZ
-110.93343,31.34248,AZ
-114.28914,34.15017,AZ
-111.32294,34.24059,AZ
-111.31337,34.23994,AZ
-112.2426,33.58534,AZ
-112.20417,33.58186,AZ
-112.23591,33.49419,AZ
